Modelo;Redução;N_Features;Acurácia;Precisão;Recall;F1-Score;Brier;AUC;Tempo (s);Energia (kWh);Emissoes (g);RGA
RandomForest;+10%;114;0.6935700760174538;0.70010718113612;0.796546509926345;0.7452197325788344;0.1997550548710021;0.7417855636374082;10.709863901138306;0.00024792473243897325;0.08658181437033628;0.12483499124918625
LightGBM;+10%;114;0.6925821235489448;0.6769283458274667;0.8677137700599971;0.7605386917486106;0.2000520084497388;0.7417702856654507;1.8708245754241943;4.269945297041696e-05;0.014911768077473117;0.02153068577782791
RNA;+10%;114;0.6818793051400972;0.677945112451564;0.8278132774011023;0.7454210040848597;0.20981651513875996;0.7204552423701205;184.9061985015869;0.004303454050808528;1.5028789427859583;2.204024864014872
RandomForest;+20%;124;0.6964241609264799;0.7026968809236602;0.796746776084408;0.7467722736013186;0.1977786315638617;0.7476260631142979;13.101800918579102;0.000304526308127527;0.10634856805853962;0.15270660328191377
LightGBM;+20%;124;0.6976591015121162;0.680597471062383;0.8702618210238374;0.7638320221226608;0.1975622424816763;0.7492472614054295;2.1602015495300293;4.950588619010727e-05;0.01728875294604155;0.024781089945748094
RNA;+20%;124;0.6864897499931392;0.6718583801853821;0.8639116842516608;0.7558765706470638;0.20739536674883532;0.7248973422445419;177.56693530082703;0.004131742237315327;1.442912677158459;2.1018706793114967
RandomForest;+30%;134;0.6956283103268476;0.7042598967297763;0.7950935146951664;0.7469252709640616;0.19933855972386122;0.7425595592205396;13.050894498825073;0.0003034959910644992;0.1059887543367859;0.15236406104142897
LightGBM;+30%;134;0.6971925684019868;0.681930740218675;0.8695652173913043;0.7644019302216338;0.19786710469608704;0.7501929527021514;2.4266579151153564;5.5986163298499894e-05;0.019551835552393856;0.028043666037932683
RNA;+30%;134;0.6823458382502264;0.6728305071740965;0.8519795967937819;0.7518809886176073;0.2049070180028151;0.7291831149057839;183.86838459968567;0.004280359271219647;1.4948136404677212;2.190697966739193
RandomForest;+40%;145;0.6952989928373446;0.7070878475394857;0.7880418970032005;0.7453732370141039;0.199087638092276;0.7432885178270696;16.18933129310608;0.00037489401573036153;0.13092281580461476;0.18829714576509146
LightGBM;+40%;145;0.6979060896292434;0.6841198100199173;0.8661138589855494;0.764433982452386;0.19767451000666264;0.7495453834381941;3.9581549167633057;9.12116596600278e-05;0.0318535020988224;0.045641530532774546
RNA;+40%;145;0.6842394138148686;0.6831404693024751;0.8244593152943458;0.7471764447374204;0.20641655297908296;0.7280228366843454;191.30046486854553;0.004454209438613689;1.5555266753210228;2.273366081980618
RandomForest;+50%;155;0.6936798485139548;0.7029158182054503;0.7902966535145404;0.7440495299243293;0.199157099688673;0.742071970117605;17.278908252716064;0.0004017727862764391;0.14030958693885887;0.20226850648673017
LightGBM;+50%;155;0.6981530777463707;0.6827911615774129;0.867017390033611;0.7639547610361183;0.19725997070889245;0.750047923192097;4.128801107406616;9.549545675552628e-05;0.03334951631762944;0.04776820067209509
RNA;+50%;155;0.6819890776365981;0.6711458213697791;0.8539626869306834;0.7515969989281887;0.20868550899670987;0.7212419927854814;184.42994379997253;0.004292823563658358;1.499166498061111;2.19822655115886
