Modelo;Redução;N_Features;Acurácia;Precisão;Recall;F1-Score;Brier;AUC;Tempo (s);Energia (kWh);Emissoes (g);RGA
RandomForest;-0%;103;0.7050138587776833;0.7111734253666955;0.8026194069818394;0.754134358059425;0.19451518671996731;0.7565797542395951;7.911943435668945;0.00017495955776613902;0.06110046304699648;0.08666561981196981
LightGBM;-0%;103;0.6960125140646011;0.6797765617875057;0.8709771653926676;0.7635897983139472;0.19741134403275312;0.7518821747612534;1.5796701908111572;3.4908266918666306e-05;0.012190881710787312;0.017515319716874807
RNA;-0%;103;0.6948324597272153;0.686847847649276;0.8428842689517503;0.7569080097936342;0.20550337398169669;0.7384621785644184;199.93034267425537;0.004476905372119193;1.5634526901336787;2.250114640222012
RandomForest;-10%;93;0.7040259063091743;0.7106331519391897;0.8011100832562442;0.7531641223994691;0.19445871486898958;0.7561125666434251;7.496049165725708;0.00016942947527519422;0.05916921330449051;0.08404408527334253
LightGBM;-10%;93;0.6972200115261121;0.6813153276874953;0.8695652173913043;0.7640151434132569;0.19711733355074967;0.752686700343969;1.8641433715820312;4.2238773398583726e-05;0.014750886697143346;0.02115671732493137
RNA;-10%;93;0.6916490573286863;0.6882360082554329;0.8280344710063781;0.7516906077348067;0.20507827546775906;0.7377742435697572;179.86422443389893;0.004090604414555058;1.4285462712787789;2.0654206871851533
RandomForest;-20%;83;0.7059469249979418;0.7113961094852814;0.8048103607770583;0.755225585379783;0.19412448810950414;0.7574402387113822;8.284400463104248;0.00018858227534374988;0.06585787305978957;0.09329011959359634
LightGBM;-20%;83;0.6972200115261121;0.6813153276874953;0.8695652173913043;0.7640151434132569;0.19711733355074967;0.752686700343969;1.4404983520507812;3.242682108508427e-05;0.011324295790053774;0.016242069365258974
RNA;-20%;83;0.6932407585279509;0.6872424690962916;0.8364087832903258;0.7545238931834153;0.20551528994677873;0.7351969408711942;180.22892713546753;0.004108941151222394;1.4349499403063526;2.069915714929068
RandomForest;-30%;73;0.7053706193913115;0.712452862901478;0.8002823896002726;0.7538179316670488;0.1947055810166763;0.7562337243979163;7.0760743618011475;0.00016031277139541637;0.05598542137206382;0.07937022018350517
LightGBM;-30%;73;0.6971102390296111;0.6812666921022511;0.8693704659428404;0.7639093884361163;0.19706651711465809;0.7528171746280508;1.3547170162200928;3.0192904006972177e-05;0.010544153398154912;0.015125517899195608
RNA;-30%;73;0.6945031422377124;0.696692175803956;0.811139782852135;0.7495725726626473;0.20433098945481337;0.7397649907324644;181.37428092956543;0.004149546948622389;1.449130548986494;2.0865716234448515
RandomForest;-40%;62;0.702461648234035;0.7093028275415497;0.7999902624275768;0.7519220208676551;0.19431195513963978;0.75665851068423;6.178248882293701;0.00014116150017633145;0.049297295531069193;0.07017791740659571
LightGBM;-40%;62;0.6976865446362414;0.6811489442647898;0.8717074833244072;0.7647360328036904;0.1972214832054193;0.7523452728832187;1.2527215480804443;2.8138187949774817e-05;0.009826592699398078;0.014084538070777114
RNA;-40%;62;0.6922253629353166;0.7010349288486416;0.7915185744193972;0.743534039195957;0.202484319268225;0.7422199383838263;193.7043206691742;0.004457138366963197;1.5565495338642845;2.248616732654641
RandomForest;-50%;52;0.7010346057795219;0.7079649833973004;0.7993086323579531;0.7508690084156604;0.1950338922582947;0.7543606028230999;6.299588918685913;0.0001454931096986948;0.05081000710244241;0.07247860046216086
LightGBM;-50%;52;0.6946952441065891;0.678227943960621;0.872096986221335;0.7630407463417751;0.1984748225543354;0.7473534334588501;1.3577308654785156;3.0536645153415466e-05;0.010664196815526052;0.015350899413800814
RNA;-50%;52;0.6850627075386262;0.6790045427612088;0.8368956619114855;0.7497273956470537;0.20493646494463008;0.7332415475268557;193.23503708839417;0.004477562266537637;1.5636820948809949;2.282538631389199
