Modelo;Aumento;N_Features;Acuracia;Precisao;Recall;F1-Score;Brier;AUC;Tempo (s);Energia (kWh);Emissoes (g);RGA
RandomForest;+10%;43;0.9465845312557906;0.9524192372581284;0.9402767781867533;0.946309058173465;0.04928075697078089;0.9862279756749112;84.52040243148804;0.00155796249;0.160800885644;0.1698748292777115
LightGBM;+10%;43;0.8777048478285039;0.877772295547058;0.8779708416442187;0.8778715573694653;0.09375847634156481;0.9532926247280852;1.9845924377441406;7.1090849e-05;0.007337449709;0.008359814494762453
RNA;+10%;43;0.9066649921145065;0.9329542669047869;0.8765561061874113;0.9038762878728444;0.06615560501813889;0.9702779163508023;575.6316599845886;0.016397321294;1.692405179034;1.8666268067624465
RandomForest;+20%;47;0.9451165529481039;0.9490144940819651;0.940469014491557;0.9447224301642961;0.050993059759093254;0.9859772539756553;90.11586475372314;0.001615264406;0.166715148022;0.17639638994996448
LightGBM;+20%;47;0.8760412763381662;0.8858464526031486;0.862582056892779;0.87405947801422;0.09424634391915401;0.9517506574040334;2.1035189628601074;7.9760972e-05;0.008232313036;0.009397174834513383
RNA;+20%;47;0.9054955507698136;0.9435178867556222;0.8620990049956649;0.9009727756575243;0.06659913063049316;0.9701436844012512;587.0535297393799;0.016453367991;1.698189887309;1.8754259873118886
RandomForest;+30%;51;0.9466854161605264;0.9518331505672697;0.9408838367185439;0.9463268229085701;0.04928329396305645;0.9865050035232414;101.79203939437866;0.001814115738;0.187239050491;0.19778381212460813
LightGBM;+30%;51;0.8771757167975425;0.8914055413892834;0.8587361514112372;0.8747659313622584;0.09406810680649745;0.9518147558731724;2.277893543243408;8.4617936e-05;0.008733611417;0.009956512987939644
RNA;+30%;51;0.9073650098208367;0.9324927017362646;0.8781282972830388;0.9044943462469991;0.06591290980577469;0.9702172132179783;586.7819678783417;0.016632491029;1.71667758731;1.8919371683166024
RandomForest;+40%;55;0.9479475069075277;0.952889099675915;0.9425603799130052;0.9476965980652582;0.048081946909376075;0.986840471150991;110.89154195785522;0.001969294961;0.203255454413;0.21441636053886218
LightGBM;+40%;55;0.877591609670127;0.8782690413285137;0.8768739480582545;0.877570940241341;0.09421142803286593;0.9525517824336976;2.4880518913269043;9.4174173e-05;0.009719932624;0.011075690009905144
RNA;+40%;55;0.9051599540458964;0.920430722724381;0.8871289654860228;0.9034730749726538;0.06689075380563736;0.9697349023673669;588.9223737716675;0.016512899691;1.704334290695;1.8829095156905067
RandomForest;+50%;59;0.9489419438256379;0.9537986097517295;0.9435302454740971;0.9486366413636693;0.04750017271678702;0.9871543001672978;118.12503218650818;0.00213121138;0.219967219786;0.23180261049396464
LightGBM;+50%;59;0.8800210828862142;0.8826301988249743;0.8764554166632332;0.8795319703140182;0.09333004037493056;0.9534995545620346;2.6289381980895996;0.000104916693;0.010828692769;0.012305037890098071
RNA;+50%;59;0.906980000082355;0.9302110829434876;0.8798668391604935;0.9043388412253437;0.06624077260494232;0.9698279555390075;590.8356156349182;0.016728214748;1.726557452163;1.9036334340406913
