Modelo;Reducao;N_Features;Acuracia;Preisao;Recall;F1-Score;Brier;AUC;Tempo (s);Energia (kWh);Emissoes (g);RGA
RandomForest;-0%;39;0.9544206118154753;0.9700267147645868;0.9379241697583929;0.9537053689057671;0.04167727216368153;0.9881472719388371;75.68309330940247;0.0007967082353326458;0.07835466152849505;0.08209657310255564
LightGBM;-0%;39;0.9026048894177912;0.9259502564615699;0.8754370233874351;0.8999854116761561;0.07756177807715019;0.9654757510205403;3.1432955265045166;4.7261692888472327e-05;0.004648092972195476;0.00514964302397436
RNA;-0%;39;0.9242457309214291;0.9660336275670157;0.8795872031325837;0.9207858975904653;0.0549984872341156;0.9770844786151013;637.4747126102448;0.006386460799440113;0.6280956467033363;0.6795764650999845
RandomForest;-10%;36;0.9533520553755184;0.9696920631809486;0.9360650208537278;0.9525818678018388;0.04172630314243896;0.9876248088757664;63.4263961315155;0.0005339721752662684;0.052515095493086965;0.05508468272237758
LightGBM;-10%;36;0.9026398903031077;0.9259890889157654;0.8754699286777832;0.9000211425430251;0.07755139695401136;0.9654814680485307;2.477442502975464;2.7884321941830453e-05;0.0027423672943351417;0.0030381631964151853
RNA;-10%;36;0.9246122107794491;0.9634002944133276;0.8829353164254983;0.9214144371139508;0.05458927899599075;0.9772687375503578;649.8753347396851;0.006129808206511245;0.602854377493968;0.6520078044240418
RandomForest;-20%;32;0.9510358203178081;0.968459001828216;0.9325523811090728;0.9501665863420153;0.04319125490298349;0.9863911680846269;55.95873212814331;0.0005425320162443674;0.05335693873360105;0.05610402636124761
LightGBM;-20%;32;0.9023742953498236;0.9256732948489844;0.8752437048066403;0.8997524307662385;0.07766743874087177;0.9653332564244403;2.57425594329834;3.218971799645842e-05;0.0031657943855156923;0.003508294065810472
RNA;-20%;32;0.9227674582357083;0.9649285455861071;0.8776046593891133;0.919197315193369;0.05570938438177109;0.9764766229883527;629.5689389705658;0.005238320208160162;0.5151783158321357;0.5582970132227403
RandomForest;-30%;28;0.9514187711806829;0.969120764522857;0.9326634364639975;0.9505426558065638;0.04239760410933271;0.9865468520534691;55.56454682350159;0.00048444592817384314;0.047644288144041126;0.050077094952536996
LightGBM;-30%;28;0.9023742953498236;0.9256732948489844;0.8752437048066403;0.8997524307662385;0.07766743874087177;0.9653332564244403;2.6593613624572754;3.536279902770097e-05;0.003477860558776335;0.003854121927783938
RNA;-30%;28;0.9235971851052703;0.960333385471365;0.883873117200418;0.9205182410304849;0.05532088503241539;0.9765373595849429;648.8623831272125;0.0062794852840424055;0.6175748187150025;0.6686625172472913
RandomForest;-40%;24;0.9516390708706162;0.969311310070728;0.9329225656254885;0.9507688889727257;0.0426758588599594;0.9865028338942036;51.335938692092896;0.0004248700907391193;0.041785123684010904;0.04390858358283186
LightGBM;-40%;24;0.9023742953498236;0.9256732948489844;0.8752437048066403;0.8997524307662385;0.07766743874087177;0.9653332564244403;2.3320484161376953;2.6812823269320798e-05;0.002636987542891162;0.002922276882752828
RNA;-40%;24;0.9253822302564124;0.9554621108713839;0.8925354348845436;0.9229274060463771;0.05415302515029907;0.9773150322167214;633.0027992725372;0.0051853473670515834;0.5099685428547891;0.551089621327052
RandomForest;-50%;20;0.9519170190775413;0.9703696727907813;0.9324125336250936;0.9510125143161595;0.04175013348376851;0.986672337469493;53.76101493835449;0.0004470417059860643;0.04396565770031745;0.046186439384099394
LightGBM;-50%;20;0.9023742953498236;0.9256732948489844;0.8752437048066403;0.8997524307662385;0.07766743874087177;0.9653332564244403;1.970177412033081;2.1644147671127257e-05;0.002128658635160024;0.002358953093111774
RNA;-50%;20;0.9244701483625762;0.9565553938632614;0.8895081481725224;0.9218142253992408;0.05482883378863335;0.9769221552938185;656.9884345531464;0.0066158125350560225;0.6506519311976897;0.7038106447786616
