Modelo;Redução;N_Features;Acurácia;Precisão;Recall;F1-Score;Brier;AUC;Tempo (s);Energia (kWh);Emissões (gCO₂eq);RGA
RandomForest;+10%;15;0.6433333333333333;0.6706827309236948;0.8697916666666666;0.7573696145124716;0.2393851852;0.6115933642;0.11043095588684082;1.3316144437508925e-06;0.0004650347;0.0007228518
LightGBM;+10%;15;0.6633333333333333;0.6743295019157088;0.9166666666666666;0.7770419426048565;0.2315990384;0.6365499614;0.04715394973754883;5.110171812478685e-07;0.0001784606;0.0002690361
RNA;+10%;15;0.6333333333333333;0.6626984126984127;0.8697916666666666;0.7522522522522522;0.2429355447;0.5882040895;4.357788801193237;6.320287281736134e-05;0.0220720997;0.0348506837
RandomForest;+20%;16;0.6866666666666666;0.7195121951219512;0.8762376237623762;0.7901785714285714;0.2194777778;0.6201252778;0.11789441108703613;1.47907165208494e-06;0.0005165306;0.000752229
LightGBM;+20%;16;0.7033333333333334;0.7215686274509804;0.9108910891089109;0.8052516411378556;0.2074865239;0.6606385128;0.05083203315734863;4.2828518819627944e-07;0.0001495684;0.0002126565
RNA;+20%;16;0.6733333333333333;0.7015503875968992;0.8960396039603961;0.7869565217391304;0.2249646653;0.6043140028;6.511569976806641;9.483188006458569e-05;0.0331177779;0.0491848187
RandomForest;+30%;18;0.68;0.7606837606837606;0.8165137614678899;0.7876106194690266;0.2017444444;0.6336428731;0.13037919998168945;1.5667110979169114e-06;0.0005471366;0.0008046126
LightGBM;+30%;18;0.7166666666666667;0.7587548638132295;0.8944954128440367;0.8210526315789474;0.1934795537;0.6558514209;0.04608631134033203;5.103567048602524e-07;0.0001782299;0.0002486929
RNA;+30%;18;0.7233333333333334;0.7566539923954373;0.9128440366972477;0.8274428274428275;0.1970958572;0.6439360036;4.247976303100586;6.169208418055629e-05;0.0215444927;0.0297850129
RandomForest;+40%;20;0.68;0.7228915662650602;0.8695652173913043;0.7894736842105263;0.2084703704;0.6388759026;0.1218268871307373;1.5046418972218591e-06;0.0005254604;0.0007727359
LightGBM;+40%;20;0.7133333333333334;0.7510373443983402;0.8743961352657005;0.8080357142857143;0.1988904626;0.674276661;0.06158709526062012;5.429756687519216e-07;0.0001896213;0.0002658243
RNA;+40%;20;0.6933333333333334;0.7186311787072244;0.9130434782608695;0.8042553191489362;0.2088192275;0.6419926238;4.248574733734131;6.171102327360813e-05;0.0215511067;0.031083327
RandomForest;+50%;21;0.6666666666666666;0.6923076923076923;0.8769230769230769;0.7737556561085973;0.2202666667;0.6316971917;0.20859885215759277;2.502219843747847e-06;0.0008738407;0.0013107611
LightGBM;+50%;21;0.6433333333333333;0.676;0.8666666666666667;0.7595505617977528;0.2339820474;0.6121123321;0.05541181564331055;6.752609090249786e-07;0.0002358188;0.0003665577
RNA;+50%;21;0.6566666666666666;0.684;0.8769230769230769;0.7685393258426966;0.2498490226;0.5436385836;5.879881381988525;8.544571287777719e-05;0.0298398824;0.0454414452
