Modelo;Alteracao;N_Features;Acuracia;Precisao;Recall;F1-Score;Brier;AUC;Tempo (s);Emissoes (g);Energia (kWh);RGA (kg/ac);CPU;GPU
RandomForest;+10%;15;0.6433333333333333;0.6706827309236948;0.8697916666666666;0.7573696145124716;0.2393851851851852;0.6115933641975309;0.0617222785949707;8.4236337e-05;8.16146e-07;0.00013093731139896374;;
LightGBM;+10%;15;0.6633333333333333;0.6743295019157088;0.9166666666666666;0.7770419426048565;0.23159903840172788;0.6365499614197532;0.0284426212310791;3.6237056e-05;3.51092e-07;5.462872763819095e-05;;
RNA;+10%;15;0.6133333333333333;0.6484375;0.8645833333333334;0.7410714285714286;0.24448995292186737;0.5987172067901235;2.9871037006378174;0.004806438121;4.6568464e-05;0.007836583892934783;;
RandomForest;+20%;16;0.6866666666666666;0.7195121951219512;0.8762376237623762;0.7901785714285714;0.21947777777777777;0.6201252778339059;0.0698997974395752;9.9961997e-05;9.68509e-07;0.00014557572378640776;;
LightGBM;+20%;16;0.7033333333333334;0.7215686274509804;0.9108910891089109;0.8052516411378556;0.20748652391020295;0.6606385128308749;0.03437685966491699;4.1947016e-05;4.06415e-07;5.9640307109004736e-05;;
RNA;+20%;16;0.6566666666666666;0.6911196911196911;0.8861386138613861;0.7765726681127982;0.219634547829628;0.6208830066680138;3.0776541233062744;0.004951481344;4.7973754e-05;0.007540326919796955;;
RandomForest;+30%;18;0.68;0.7606837606837606;0.8165137614678899;0.7876106194690266;0.20174444444444448;0.633642873125979;0.06969428062438965;9.8853928e-05;9.57773e-07;0.00014537342352941176;;
LightGBM;+30%;18;0.7166666666666667;0.7587548638132295;0.8944954128440367;0.8210526315789474;0.1934795536703262;0.6558514208995301;0.03241276741027832;4.0550487e-05;3.92884e-07;5.658207488372093e-05;;
RNA;+30%;18;0.6866666666666666;0.748;0.8577981651376146;0.7991452991452992;0.20506109297275543;0.6226784515551578;3.2038252353668213;0.005146033453;4.9858725e-05;0.007494223475242719;;
RandomForest;+40%;20;0.68;0.7228915662650602;0.8695652173913043;0.7894736842105263;0.20847037037037042;0.6388759025505167;0.07115602493286133;0.000101316219;9.81629e-07;0.00014899443970588233;;
LightGBM;+40%;20;0.7133333333333334;0.7510373443983402;0.8743961352657005;0.8080357142857143;0.19889046255373888;0.6742766609526777;0.05064797401428223;6.0413811e-05;5.85335e-07;8.469225841121495e-05;;
RNA;+40%;20;0.6933333333333334;0.7153558052434457;0.9227053140096618;0.8059071729957806;0.21505099534988403;0.6159680016622513;3.094731092453003;0.004972984271;4.8182091e-05;0.007172573467788461;;
RandomForest;+50%;21;0.6666666666666666;0.6923076923076923;0.8769230769230769;0.7737556561085973;0.22026666666666667;0.6316971916971917;0.060245513916015625;8.2278274e-05;7.97175e-07;0.00012341741100000003;;
LightGBM;+50%;21;0.6433333333333333;0.676;0.8666666666666667;0.7595505617977528;0.23398204738098316;0.6121123321123321;0.06929421424865723;9.5438952e-05;9.24686e-07;0.00014835070259067358;;
RNA;+50%;21;0.66;0.689795918367347;0.8666666666666667;0.7681818181818182;0.24347543716430664;0.5894505494505494;3.1731767654418945;0.005103797977;4.9449515e-05;0.007733027237878788;;
